"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"CC-CVS1_p43",249,49,0.196787148594378,37,0.14859437751004,212,12,224,0.14859437751004,0.85140562248996,0.244897959183673,2.54290384358348,1.49856044436166,2.95161707596311,0.755102040816326,0.14859437751004,0.248322147651007,11.8862417383379,"p43","CC-CVS1"
"CC-CVS1_p44",249,62,0.248995983935743,52,0.208835341365462,197,10,207,0.208835341365462,0.791164658634538,0.161290322580645,2.59703347401645,1.36375202178515,2.93332617383151,0.838709677419355,0.208835341365462,0.334405144694534,8.77177346213078,"p44","CC-CVS1"
"CC-CVS1_p45",249,37,0.14859437751004,31,0.124497991967871,218,6,224,0.124497991967871,0.875502008032129,0.162162162162162,2.643643936579,1.57227116392282,3.07585595831699,0.837837837837838,0.124497991967871,0.216783216783217,14.1886258722365,"p45","CC-CVS1"
"CC-CVS1_p46",249,59,0.236947791164659,53,0.21285140562249,196,6,202,0.21285140562249,0.78714859437751,0.101694915254237,2.66418772570209,1.34835533640341,2.98596020586163,0.898305084745763,0.21285140562249,0.344155844155844,8.67618625854134,"p46","CC-CVS1"
"CC-CVS1_p47",249,37,0.14859437751004,32,0.1285140562249,217,5,222,0.1285140562249,0.8714859437751,0.135135135135135,2.67789480475623,1.55176950406624,3.09501359917697,0.864864864864865,0.1285140562249,0.223776223776224,13.8308420213221,"p47","CC-CVS1"
"CC-CVS1_p48",249,50,0.200803212851406,45,0.180722891566265,204,5,209,0.180722891566265,0.819277108433735,0.1,2.62261695382338,1.47813834114252,3.01048378870197,0.9,0.180722891566265,0.301003344481605,10.0014961424654,"p48","CC-CVS1"
"CC-CVS1_p49",249,22,0.0883534136546185,19,0.0763052208835341,230,3,233,0.0763052208835341,0.923694779116466,0.136363636363636,2.24421188333383,1.79217979596151,2.87200198439162,0.863636363636364,0.0763052208835341,0.140221402214022,20.4819088886876,"p49","CC-CVS1"
"CC-CVS1_p50",249,31,0.124497991967871,28,0.112449799196787,221,3,224,0.112449799196787,0.887550200803213,0.0967741935483871,2.74793568129316,1.56826781149504,3.16395550491715,0.903225806451613,0.112449799196787,0.2,15.8197775245857,"p50","CC-CVS1"
"CC-CVS1_p51",249,22,0.0883534136546185,18,0.072289156626506,231,4,235,0.072289156626506,0.927710843373494,0.181818181818182,2.24983475085184,1.72916868272975,2.83756598856729,0.818181818181818,0.072289156626506,0.132841328413284,21.3605661917149,"p51","CC-CVS1"
"CC-CVS1_p52",249,31,0.124497991967871,27,0.108433734939759,222,4,226,0.108433734939759,0.891566265060241,0.129032258064516,2.61041207007735,1.59061319412777,3.05684502533885,0.870967741935484,0.108433734939759,0.192857142857143,15.850307538794,"p52","CC-CVS1"
