"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"SG-SWR1_p1",236,672,2.84745762711864,122,0.516949152542373,114,550,664,0.516949152542373,0.483050847457627,0.818452380952381,1.5736226943767,0.956462059953842,1.84149614617803,0.181547619047619,0.516949152542373,0.268722466960352,6.85278074069529,"p1","SG-SWR1"
"SG-SWR1_p2",236,496,2.10169491525424,147,0.622881355932203,89,349,438,0.622881355932203,0.377118644067797,0.703629032258065,1.76120250120207,1.1054071955742,2.07936512384614,0.296370967741935,0.622881355932203,0.401639344262295,5.17719479814752,"p2","SG-SWR1"
"SG-SWR1_p3",236,683,2.89406779661017,139,0.588983050847458,97,544,641,0.588983050847458,0.411016949152542,0.796486090775988,1.66771741258625,1.00849356992275,1.94893320789064,0.203513909224012,0.588983050847458,0.302502720348205,6.44269646781116,"p3","SG-SWR1"
"SG-SWR1_p4",236,522,2.21186440677966,135,0.572033898305085,101,387,488,0.572033898305085,0.427966101694915,0.741379310344828,1.68696705028334,0.928366829637062,1.92554480579187,0.258620689655172,0.572033898305085,0.356200527704486,5.40578875107495,"p4","SG-SWR1"
"SG-SWR1_p5",236,640,2.71186440677966,126,0.533898305084746,110,514,624,0.533898305084746,0.466101694915254,0.803125,1.51989227250418,0.934062720949009,1.78396908232306,0.196875,0.533898305084746,0.287671232876712,6.20141633378969,"p5","SG-SWR1"
"SG-SWR1_p6",236,472,2,145,0.614406779661017,91,327,418,0.614406779661017,0.385593220338983,0.692796610169492,1.77133493406768,0.893930229476783,1.98412164541919,0.307203389830508,0.614406779661017,0.409604519774011,4.84399353433376,"p6","SG-SWR1"
"SG-SWR1_p7",236,220,0.932203389830508,121,0.51271186440678,115,99,214,0.51271186440678,0.48728813559322,0.45,2.13630736787053,0.993134265556016,2.35587029342437,0.55,0.51271186440678,0.530701754385965,4.4391605528988,"p7","SG-SWR1"
"SG-SWR1_p8",236,171,0.724576271186441,111,0.470338983050847,125,60,185,0.470338983050847,0.529661016949153,0.350877192982456,2.26380702871515,1.27214647649461,2.5967631622691,0.649122807017544,0.470338983050847,0.545454545454545,4.76073246416001,"p8","SG-SWR1"
"SG-SWR1_p9",236,211,0.894067796610169,121,0.51271186440678,115,90,205,0.51271186440678,0.48728813559322,0.42654028436019,2.22352234156523,1.12584971766966,2.49230599851153,0.57345971563981,0.51271186440678,0.541387024608501,4.60355694766386,"p9","SG-SWR1"
"SG-SWR1_p10",236,169,0.716101694915254,118,0.5,118,51,169,0.5,0.5,0.301775147928994,2.31114519111503,1.09242668372849,2.55632317083271,0.698224852071006,0.5,0.582716049382716,4.38691052621714,"p10","SG-SWR1"
"SG-SWR1_p11",236,205,0.86864406779661,107,0.453389830508475,129,98,227,0.453389830508475,0.546610169491525,0.478048780487805,2.19709947983727,0.957872018454615,2.39682392512247,0.521951219512195,0.453389830508475,0.485260770975057,4.93924930364024,"p11","SG-SWR1"
"SG-SWR1_p12",236,178,0.754237288135593,100,0.423728813559322,136,78,214,0.423728813559322,0.576271186440678,0.438202247191011,2.34579056109549,1.00495115801714,2.55199141584072,0.561797752808989,0.423728813559322,0.483091787439614,5.28262223079028,"p12","SG-SWR1"
"SG-SWR1_p13",236,96,0.406779661016949,80,0.338983050847458,156,16,172,0.338983050847458,0.661016949152542,0.166666666666667,2.6294654612035,1.1332282923136,2.86326648675288,0.833333333333333,0.338983050847458,0.481927710843373,5.94127796001222,"p13","SG-SWR1"
"SG-SWR1_p14",236,84,0.355932203389831,68,0.288135593220339,168,16,184,0.288135593220339,0.711864406779661,0.19047619047619,2.49599217277717,0.954556210405406,2.67229386209459,0.80952380952381,0.288135593220339,0.425,6.28775026375197,"p14","SG-SWR1"
"SG-SWR1_p15",236,89,0.377118644067797,67,0.283898305084746,169,22,191,0.283898305084746,0.716101694915254,0.247191011235955,2.53209856816848,1.26548977598965,2.83072208668658,0.752808988764045,0.283898305084746,0.412307692307692,6.86555729979953,"p15","SG-SWR1"
"SG-SWR1_p16",236,77,0.326271186440678,67,0.283898305084746,169,10,179,0.283898305084746,0.716101694915254,0.12987012987013,2.62951397553649,0.984166387158158,2.80765511150384,0.87012987012987,0.283898305084746,0.428115015974441,6.55817947687092,"p16","SG-SWR1"
"SG-SWR1_p17",236,97,0.411016949152542,81,0.343220338983051,155,16,171,0.343220338983051,0.656779661016949,0.164948453608247,2.55905495710182,1.09808311093401,2.78469904872787,0.835051546391753,0.343220338983051,0.486486486486487,5.72410360016284,"p17","SG-SWR1"
"SG-SWR1_p18",236,83,0.351694915254237,68,0.288135593220339,168,15,183,0.288135593220339,0.711864406779661,0.180722891566265,2.40346169390641,1.19171953125577,2.68268961217132,0.819277108433735,0.288135593220339,0.426332288401254,6.2924851932548,"p18","SG-SWR1"
"SG-SWR1_p19",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p19","SG-SWR1"
"SG-SWR1_p20",236,468,1.98305084745763,133,0.563559322033898,103,335,438,0.563559322033898,0.436440677966102,0.715811965811966,1.77323494178562,1.02987527896613,2.05061094530265,0.284188034188034,0.563559322033898,0.377840909090909,5.42718084771828,"p20","SG-SWR1"
"SG-SWR1_p21",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p21","SG-SWR1"
"SG-SWR1_p22",236,510,2.16101694915254,141,0.597457627118644,95,369,464,0.597457627118644,0.402542372881356,0.723529411764706,1.68203906850315,0.918240373202313,1.91635612842437,0.276470588235294,0.597457627118644,0.378016085790885,5.06950947448434,"p22","SG-SWR1"
"SG-SWR1_p23",236,34,0.144067796610169,26,0.110169491525424,210,8,218,0.110169491525424,0.889830508474576,0.235294117647059,2.40889658301024,1.17883368044599,2.68187091296212,0.764705882352941,0.110169491525424,0.192592592592593,13.9250989711495,"p23","SG-SWR1"
"SG-SWR1_p24",236,467,1.97881355932203,156,0.661016949152542,80,311,391,0.661016949152542,0.338983050847458,0.665952890792291,1.84676187047538,0.946159260459806,2.07502933771924,0.334047109207709,0.661016949152542,0.443812233285918,4.67546674492509,"p24","SG-SWR1"
"SG-SWR1_p25",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p25","SG-SWR1"
"SG-SWR1_p26",236,176,0.745762711864407,106,0.449152542372881,130,70,200,0.449152542372881,0.550847457627119,0.397727272727273,2.3242397538743,1.17544905108563,2.60456731630952,0.602272727272727,0.449152542372881,0.514563106796117,5.06170629396001,"p26","SG-SWR1"
"SG-SWR1_p27",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p27","SG-SWR1"
"SG-SWR1_p28",236,185,0.783898305084746,121,0.51271186440678,115,64,179,0.51271186440678,0.48728813559322,0.345945945945946,2.28309875888416,1.20079066926961,2.57961977318817,0.654054054054054,0.51271186440678,0.574821852731591,4.48768563848024,"p28","SG-SWR1"
"SG-SWR1_p29",236,20,0.0847457627118644,18,0.076271186440678,218,2,220,0.076271186440678,0.923728813559322,0.1,2.49948876630104,1.16309412535893,2.75685183448613,0.9,0.076271186440678,0.140625,19.6042797119014,"p29","SG-SWR1"
"SG-SWR1_p30",236,179,0.758474576271186,104,0.440677966101695,132,75,207,0.440677966101695,0.559322033898305,0.418994413407821,2.23222618780805,1.22674303387215,2.54710271184535,0.581005586592179,0.440677966101695,0.501204819277108,5.08195973757605,"p30","SG-SWR1"
"SG-SWR1_p31",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p31","SG-SWR1"
"SG-SWR1_p32",236,80,0.338983050847458,70,0.296610169491525,166,10,176,0.296610169491525,0.703389830508475,0.125,2.39769247288911,1.1828423696455,2.67358285190073,0.875,0.296610169491525,0.443037974683544,6.03465843714737,"p32","SG-SWR1"
"SG-SWR1_p33",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p33","SG-SWR1"
"SG-SWR1_p34",236,82,0.347457627118644,68,0.288135593220339,168,14,182,0.288135593220339,0.711864406779661,0.170731707317073,2.49383700338941,0.837586790937477,2.63073651889109,0.829268292682927,0.288135593220339,0.427672955974843,6.15128097799535,"p34","SG-SWR1"
"SG-SWR1_p35",236,16,0.0677966101694915,15,0.0635593220338983,221,1,222,0.0635593220338983,0.936440677966102,0.0625,2.38191290829637,1.24220154027705,2.68636813735116,0.9375,0.0635593220338983,0.119047619047619,22.5654923537497,"p35","SG-SWR1"
"SG-SWR1_p36",236,81,0.343220338983051,65,0.275423728813559,171,16,187,0.275423728813559,0.724576271186441,0.197530864197531,2.43831456626875,0.971559507659246,2.62474871197253,0.802469135802469,0.275423728813559,0.410094637223975,6.40034878227147,"p36","SG-SWR1"
"SG-SWR1_p37",236,32,0.135593220338983,28,0.11864406779661,208,4,212,0.11864406779661,0.88135593220339,0.125,2.51171712681803,1.46683233777513,2.90866292861409,0.875,0.11864406779661,0.208955223880597,13.920029729796,"p37","SG-SWR1"
"SG-SWR1_p38",236,49,0.207627118644068,39,0.165254237288136,197,10,207,0.165254237288136,0.834745762711864,0.204081632653061,2.36181147433174,1.03619556861157,2.57911897683983,0.795918367346939,0.165254237288136,0.273684210526316,9.42370395383784,"p38","SG-SWR1"
"SG-SWR1_p39",236,31,0.13135593220339,27,0.114406779661017,209,4,213,0.114406779661017,0.885593220338983,0.129032258064516,2.49333303641162,1.41290127043612,2.86583314770096,0.870967741935484,0.114406779661017,0.202247191011236,14.1699527858547,"p39","SG-SWR1"
"SG-SWR1_p40",236,47,0.199152542372881,38,0.161016949152542,198,9,207,0.161016949152542,0.838983050847458,0.191489361702128,2.40012587846624,1.05118842519463,2.62022925289878,0.808510638297872,0.161016949152542,0.268551236749117,9.75690629697835,"p40","SG-SWR1"
"SG-SWR1_p41",236,31,0.13135593220339,27,0.114406779661017,209,4,213,0.114406779661017,0.885593220338983,0.129032258064516,2.48560616175898,1.4111885980475,2.85826717621595,0.870967741935484,0.114406779661017,0.202247191011236,14.1325432601789,"p41","SG-SWR1"
"SG-SWR1_p42",236,47,0.199152542372881,38,0.161016949152542,198,9,207,0.161016949152542,0.838983050847458,0.191489361702128,2.40012587846624,1.05118842519463,2.62022925289878,0.808510638297872,0.161016949152542,0.268551236749117,9.75690629697835,"p42","SG-SWR1"
"SG-SWR1_p43",236,21,0.0889830508474576,21,0.0889830508474576,215,0,215,0.0889830508474576,0.911016949152542,0,2.35868358808558,1.39587514791669,2.74077647707282,1,0.0889830508474576,0.163424124513619,16.7709417763741,"p43","SG-SWR1"
"SG-SWR1_p44",236,28,0.11864406779661,25,0.105932203389831,211,3,214,0.105932203389831,0.894067796610169,0.107142857142857,2.3840925190925,1.19657802085781,2.66752621347811,0.892857142857143,0.105932203389831,0.189393939393939,14.0845384071644,"p44","SG-SWR1"
"SG-SWR1_p45",236,21,0.0889830508474576,21,0.0889830508474576,215,0,215,0.0889830508474576,0.911016949152542,0,2.35868358808558,1.39587514791669,2.74077647707282,1,0.0889830508474576,0.163424124513619,16.7709417763741,"p45","SG-SWR1"
"SG-SWR1_p46",236,27,0.114406779661017,25,0.105932203389831,211,2,213,0.105932203389831,0.894067796610169,0.0740740740740741,2.44255584320153,1.32896282867505,2.78068718973529,0.925925925925926,0.105932203389831,0.190114068441065,14.6264146180076,"p46","SG-SWR1"
"SG-SWR1_p47",236,21,0.0889830508474576,21,0.0889830508474576,215,0,215,0.0889830508474576,0.911016949152542,0,2.34817476622478,1.3936458523975,2.73059947532397,1,0.0889830508474576,0.163424124513619,16.7086682180538,"p47","SG-SWR1"
"SG-SWR1_p48",236,28,0.11864406779661,25,0.105932203389831,211,3,214,0.105932203389831,0.894067796610169,0.107142857142857,2.46022295224343,1.33075828007944,2.79707250080247,0.892857142857143,0.105932203389831,0.189393939393939,14.768542804237,"p48","SG-SWR1"
"SG-SWR1_p49",236,17,0.0720338983050847,17,0.0720338983050847,219,0,219,0.0720338983050847,0.927966101694915,0,2.31721875076079,1.50257792202758,2.76174639506275,1,0.0720338983050847,0.134387351778656,20.5506422926728,"p49","SG-SWR1"
"SG-SWR1_p50",236,22,0.0932203389830508,20,0.0847457627118644,216,2,218,0.0847457627118644,0.915254237288136,0.0909090909090909,2.49103820425441,1.30005636416272,2.80987862461265,0.909090909090909,0.0847457627118644,0.155038759689922,18.1237171287516,"p50","SG-SWR1"
"SG-SWR1_p51",236,17,0.0720338983050847,17,0.0720338983050847,219,0,219,0.0720338983050847,0.927966101694915,0,2.31721875076079,1.50257792202758,2.76174639506275,1,0.0720338983050847,0.134387351778656,20.5506422926728,"p51","SG-SWR1"
"SG-SWR1_p52",236,22,0.0932203389830508,20,0.0847457627118644,216,2,218,0.0847457627118644,0.915254237288136,0.0909090909090909,2.46177335819614,1.29993826776505,2.78391227719631,0.909090909090909,0.0847457627118644,0.155038759689922,17.9562341879162,"p52","SG-SWR1"
"SG-SWR1_p53",236,17,0.0720338983050847,17,0.0720338983050847,219,0,219,0.0720338983050847,0.927966101694915,0,2.30399668486226,1.50001950967705,2.74926522061224,1,0.0720338983050847,0.134387351778656,20.4577676710263,"p53","SG-SWR1"
"SG-SWR1_p54",236,23,0.0974576271186441,20,0.0847457627118644,216,3,219,0.0847457627118644,0.915254237288136,0.130434782608696,2.46177335819614,1.29993826776505,2.78391227719631,0.869565217391304,0.0847457627118644,0.154440154440154,18.0258319948461,"p54","SG-SWR1"
"SG-SWR1_p55",236,23,0.0974576271186441,21,0.0889830508474576,215,2,217,0.0889830508474576,0.911016949152542,0.0869565217391304,2.5356556276564,1.53606491678296,2.96463233650262,0.91304347826087,0.0889830508474576,0.162162162162162,18.2818994084328,"p55","SG-SWR1"
"SG-SWR1_p56",236,45,0.190677966101695,38,0.161016949152542,198,7,205,0.161016949152542,0.838983050847458,0.155555555555556,2.27037722456215,1.31743171200236,2.62492648613252,0.844444444444444,0.161016949152542,0.270462633451957,9.70532029741101,"p56","SG-SWR1"
"SG-SWR1_p57",236,24,0.101694915254237,22,0.0932203389830508,214,2,216,0.0932203389830508,0.906779661016949,0.0833333333333333,2.55022081675005,1.50545625823354,2.96142275935737,0.916666666666667,0.0932203389830508,0.169230769230769,17.4993163052936,"p57","SG-SWR1"
"SG-SWR1_p58",236,45,0.190677966101695,38,0.161016949152542,198,7,205,0.161016949152542,0.838983050847458,0.155555555555556,2.23786572740424,1.2837028677352,2.57991008884459,0.844444444444444,0.161016949152542,0.270462633451957,9.53887809164908,"p58","SG-SWR1"
"SG-SWR1_p59",236,24,0.101694915254237,22,0.0932203389830508,214,2,216,0.0932203389830508,0.906779661016949,0.0833333333333333,2.55022081675005,1.50545625823354,2.96142275935737,0.916666666666667,0.0932203389830508,0.169230769230769,17.4993163052936,"p59","SG-SWR1"
"SG-SWR1_p60",236,45,0.190677966101695,38,0.161016949152542,198,7,205,0.161016949152542,0.838983050847458,0.155555555555556,2.23786572740424,1.2837028677352,2.57991008884459,0.844444444444444,0.161016949152542,0.270462633451957,9.53887809164908,"p60","SG-SWR1"
"SG-SWR1_p61",236,21,0.0889830508474576,20,0.0847457627118644,216,1,217,0.0847457627118644,0.915254237288136,0.0476190476190476,2.46315890480545,1.51005311164873,2.88918884642773,0.952380952380952,0.0847457627118644,0.155642023346304,18.5630383382982,"p61","SG-SWR1"
"SG-SWR1_p62",236,27,0.114406779661017,24,0.101694915254237,212,3,215,0.101694915254237,0.898305084745763,0.111111111111111,2.38048785786637,1.22411723294789,2.6767864019098,0.888888888888889,0.101694915254237,0.182509505703422,14.6665588271308,"p62","SG-SWR1"
"SG-SWR1_p63",236,21,0.0889830508474576,20,0.0847457627118644,216,1,217,0.0847457627118644,0.915254237288136,0.0476190476190476,2.46315890480545,1.51005311164873,2.88918884642773,0.952380952380952,0.0847457627118644,0.155642023346304,18.5630383382982,"p63","SG-SWR1"
"SG-SWR1_p64",236,27,0.114406779661017,24,0.101694915254237,212,3,215,0.101694915254237,0.898305084745763,0.111111111111111,2.38048785786637,1.22411723294789,2.6767864019098,0.888888888888889,0.101694915254237,0.182509505703422,14.6665588271308,"p64","SG-SWR1"
"SG-SWR1_p65",236,21,0.0889830508474576,20,0.0847457627118644,216,1,217,0.0847457627118644,0.915254237288136,0.0476190476190476,2.46315890480545,1.51005311164873,2.88918884642773,0.952380952380952,0.0847457627118644,0.155642023346304,18.5630383382982,"p65","SG-SWR1"
"SG-SWR1_p66",236,27,0.114406779661017,24,0.101694915254237,212,3,215,0.101694915254237,0.898305084745763,0.111111111111111,2.38048785786637,1.22411723294789,2.6767864019098,0.888888888888889,0.101694915254237,0.182509505703422,14.6665588271308,"p66","SG-SWR1"
"SG-SWR1_p67",236,18,0.076271186440678,17,0.0720338983050847,219,1,220,0.0720338983050847,0.927966101694915,0.0555555555555556,2.44159180263172,1.46820112021881,2.84903230239501,0.944444444444444,0.0720338983050847,0.133858267716535,21.2839472002451,"p67","SG-SWR1"
"SG-SWR1_p68",236,21,0.0889830508474576,19,0.0805084745762712,217,2,219,0.0805084745762712,0.919491525423729,0.0952380952380952,2.46722631786685,1.01881215664435,2.66930401305305,0.904761904761905,0.0805084745762712,0.147859922178988,18.0529245093325,"p68","SG-SWR1"
"SG-SWR1_p69",236,18,0.076271186440678,17,0.0720338983050847,219,1,220,0.0720338983050847,0.927966101694915,0.0555555555555556,2.44159180263172,1.46820112021881,2.84903230239501,0.944444444444444,0.0720338983050847,0.133858267716535,21.2839472002451,"p69","SG-SWR1"
"SG-SWR1_p70",236,21,0.0889830508474576,19,0.0805084745762712,217,2,219,0.0805084745762712,0.919491525423729,0.0952380952380952,2.46722631786685,1.01881215664435,2.66930401305305,0.904761904761905,0.0805084745762712,0.147859922178988,18.0529245093325,"p70","SG-SWR1"
"SG-SWR1_p71",236,18,0.076271186440678,17,0.0720338983050847,219,1,220,0.0720338983050847,0.927966101694915,0.0555555555555556,2.44159180263172,1.46820112021881,2.84903230239501,0.944444444444444,0.0720338983050847,0.133858267716535,21.2839472002451,"p71","SG-SWR1"
"SG-SWR1_p72",236,21,0.0889830508474576,19,0.0805084745762712,217,2,219,0.0805084745762712,0.919491525423729,0.0952380952380952,2.46722631786685,1.01881215664435,2.66930401305305,0.904761904761905,0.0805084745762712,0.147859922178988,18.0529245093325,"p72","SG-SWR1"
"CC-UC1_p1",150,657,4.38,112,0.746666666666667,38,545,583,0.746666666666667,0.253333333333333,0.829528158295282,1.97128763160118,1.15917912380763,2.28684742988579,0.170471841704718,0.746666666666667,0.277571251548947,8.23877623177602,"p1","CC-UC1"
"CC-UC1_p2",150,584,3.89333333333333,121,0.806666666666667,29,463,492,0.806666666666667,0.193333333333333,0.792808219178082,2.13683485534457,1.14938040800861,2.42634262241125,0.207191780821918,0.806666666666667,0.329700272479564,7.3592375407019,"p2","CC-UC1"
"CC-UC1_p3",150,674,4.49333333333333,109,0.726666666666667,41,565,606,0.726666666666667,0.273333333333333,0.838278931750742,1.9346158485365,1.13901865857727,2.24501714603603,0.161721068249258,0.726666666666667,0.264563106796117,8.48575288226463,"p3","CC-UC1"
"CC-UC1_p4",150,552,3.68,118,0.786666666666667,32,434,466,0.786666666666667,0.213333333333333,0.786231884057971,2.13957359862356,1.20563032954775,2.4558745235562,0.213768115942029,0.786666666666667,0.336182336182336,7.30518608278158,"p4","CC-UC1"
"CC-UC1_p5",150,683,4.55333333333333,112,0.746666666666667,38,571,609,0.746666666666667,0.253333333333333,0.83601756954612,1.97484568026296,1.2688034119651,2.34731283792075,0.16398243045388,0.746666666666667,0.26890756302521,8.72906961601777,"p5","CC-UC1"
"CC-UC1_p6",150,530,3.53333333333333,127,0.846666666666667,23,403,426,0.846666666666667,0.153333333333333,0.760377358490566,2.27299259646362,1.22368185549373,2.58145165111473,0.239622641509434,0.846666666666667,0.373529411764706,6.91097292424417,"p6","CC-UC1"
"CC-UC1_p7",150,205,1.36666666666667,97,0.646666666666667,53,108,161,0.646666666666667,0.353333333333333,0.526829268292683,2.50889285267986,1.63407628624809,2.99411901158028,0.473170731707317,0.646666666666667,0.546478873239437,5.47892911912886,"p7","CC-UC1"
"CC-UC1_p8",150,172,1.14666666666667,97,0.646666666666667,53,75,128,0.646666666666667,0.353333333333333,0.436046511627907,2.70071827478908,1.63035441406582,3.15466871719419,0.563953488372093,0.646666666666667,0.602484472049689,5.23609962338417,"p8","CC-UC1"
"CC-UC1_p9",150,203,1.35333333333333,99,0.66,51,104,155,0.66,0.34,0.512315270935961,2.72013539455544,1.53598163920002,3.12383997040067,0.487684729064039,0.66,0.560906515580737,5.56927025025979,"p9","CC-UC1"
"CC-UC1_p10",150,172,1.14666666666667,97,0.646666666666667,53,75,128,0.646666666666667,0.353333333333333,0.436046511627907,2.81021692772496,1.4986352004132,3.18484326848111,0.563953488372093,0.646666666666667,0.602484472049689,5.28618315696349,"p10","CC-UC1"
"CC-UC1_p11",150,201,1.34,95,0.633333333333333,55,106,161,0.633333333333333,0.366666666666667,0.527363184079602,2.54998167665686,1.53998909428811,2.97892144270574,0.472636815920398,0.633333333333333,0.541310541310541,5.50316540205112,"p11","CC-UC1"
"CC-UC1_p12",150,188,1.25333333333333,94,0.626666666666667,56,94,150,0.626666666666667,0.373333333333333,0.5,2.78148398740681,1.55602940203584,3.18714302663067,0.5,0.626666666666667,0.556213017751479,5.7300762925594,"p12","CC-UC1"
"CC-UC1_p13",150,87,0.58,64,0.426666666666667,86,23,109,0.426666666666667,0.573333333333333,0.264367816091954,2.97461954543651,1.69939344877812,3.42582829894361,0.735632183908046,0.426666666666667,0.540084388185654,6.34313520976279,"p13","CC-UC1"
"CC-UC1_p14",150,94,0.626666666666667,59,0.393333333333333,91,35,126,0.393333333333333,0.606666666666667,0.372340425531915,2.86928253934294,1.66251660371472,3.31613385559229,0.627659574468085,0.393333333333333,0.483606557377049,6.85709034546203,"p14","CC-UC1"
"CC-UC1_p15",150,89,0.593333333333333,59,0.393333333333333,91,30,121,0.393333333333333,0.606666666666667,0.337078651685393,2.82204976861076,1.46608719420673,3.18015354307508,0.662921348314607,0.393333333333333,0.493723849372385,6.44115844741479,"p15","CC-UC1"
"CC-UC1_p16",150,91,0.606666666666667,61,0.406666666666667,89,30,119,0.406666666666667,0.593333333333333,0.32967032967033,2.95563791450047,1.60018317086759,3.36100902437952,0.67032967032967,0.406666666666667,0.506224066390041,6.63937028586446,"p16","CC-UC1"
"CC-UC1_p17",150,90,0.6,61,0.406666666666667,89,29,118,0.406666666666667,0.593333333333333,0.322222222222222,2.74915566390859,1.68529073232455,3.22460256727239,0.677777777777778,0.406666666666667,0.508333333333333,6.34348046020799,"p17","CC-UC1"
"CC-UC1_p18",150,94,0.626666666666667,65,0.433333333333333,85,29,114,0.433333333333333,0.566666666666667,0.308510638297872,2.91722423706197,1.63269006903897,3.34303366881643,0.691489361702128,0.433333333333333,0.532786885245902,6.27461703993238,"p18","CC-UC1"
"CC-UC1_p19",150,190,1.26666666666667,75,0.5,75,115,190,0.5,0.5,0.605263157894737,2.62747505708005,1.34744458389452,2.95283458430107,0.394736842105263,0.5,0.441176470588235,6.69309172441577,"p19","CC-UC1"
"CC-UC1_p20",150,552,3.68,126,0.84,24,426,450,0.84,0.16,0.771739130434783,2.2399822288652,1.19329262034833,2.53800466181796,0.228260869565217,0.84,0.358974358974359,7.07015584363575,"p20","CC-UC1"
"CC-UC1_p21",150,33,0.22,19,0.126666666666667,131,14,145,0.126666666666667,0.873333333333333,0.424242424242424,3.0309059498539,1.84229116505565,3.54688985079913,0.575757575757576,0.126666666666667,0.207650273224044,17.0810748077958,"p21","CC-UC1"
"CC-UC1_p22",150,541,3.60666666666667,120,0.8,30,421,451,0.8,0.2,0.77818853974122,2.17083379416168,1.31014261310235,2.53554590345769,0.22181146025878,0.8,0.347322720694645,7.30025924703859,"p22","CC-UC1"
"CC-UC1_p23",150,33,0.22,20,0.133333333333333,130,13,143,0.133333333333333,0.866666666666667,0.393939393939394,3.33164852218854,1.71883114353912,3.74890148915666,0.606060606060606,0.133333333333333,0.218579234972678,17.1512243128917,"p23","CC-UC1"
"CC-UC1_p24",150,560,3.73333333333333,119,0.793333333333333,31,441,472,0.793333333333333,0.206666666666667,0.7875,2.19537177485309,1.16870158867067,2.48707069324194,0.2125,0.793333333333333,0.335211267605634,7.41941257227638,"p24","CC-UC1"
"CC-UC1_p25",150,45,0.3,29,0.193333333333333,121,16,137,0.193333333333333,0.806666666666667,0.355555555555556,2.71798741219873,1.30003921691511,3.01289852772841,0.644444444444444,0.193333333333333,0.297435897435897,10.1295726363283,"p25","CC-UC1"
"CC-UC1_p26",150,167,1.11333333333333,91,0.606666666666667,59,76,135,0.606666666666667,0.393333333333333,0.455089820359281,2.65677100728353,1.45442820606361,3.02882709835602,0.544910179640719,0.606666666666667,0.574132492113565,5.2754845614223,"p26","CC-UC1"
"CC-UC1_p27",150,23,0.153333333333333,14,0.0933333333333333,136,9,145,0.0933333333333333,0.906666666666667,0.391304347826087,3.14253106933677,1.88735073203533,3.66573243806216,0.608695652173913,0.0933333333333333,0.161849710982659,22.6489897065984,"p27","CC-UC1"
"CC-UC1_p28",150,172,1.14666666666667,92,0.613333333333333,58,80,138,0.613333333333333,0.386666666666667,0.465116279069767,2.6503070120796,1.29633845553711,2.95035941023846,0.534883720930233,0.613333333333333,0.571428571428571,5.16312896791731,"p28","CC-UC1"
"CC-UC1_p29",150,24,0.16,17,0.113333333333333,133,7,140,0.113333333333333,0.886666666666667,0.291666666666667,3.43590079361423,1.84599542730936,3.90039913101287,0.708333333333333,0.113333333333333,0.195402298850575,19.9608661410659,"p29","CC-UC1"
"CC-UC1_p30",150,173,1.15333333333333,82,0.546666666666667,68,91,159,0.546666666666667,0.453333333333333,0.526011560693642,2.71084698756093,1.39827789554535,3.05022498565907,0.473988439306358,0.546666666666667,0.507739938080495,6.00745530712123,"p30","CC-UC1"
"CC-UC1_p31",150,17,0.113333333333333,11,0.0733333333333333,139,6,145,0.0733333333333333,0.926666666666667,0.352941176470588,3.28501165374403,1.87292852846212,3.78142338782123,0.647058823529412,0.0733333333333333,0.131736526946108,28.7044411711884,"p31","CC-UC1"
"CC-UC1_p32",150,96,0.64,61,0.406666666666667,89,35,124,0.406666666666667,0.593333333333333,0.364583333333333,2.94501918307019,1.4358548262158,3.27640306901008,0.635416666666667,0.406666666666667,0.495934959349593,6.60651766374163,"p32","CC-UC1"
"CC-UC1_p33",150,22,0.146666666666667,15,0.1,135,7,142,0.1,0.9,0.318181818181818,3.21393666721612,1.82341342907563,3.69516243678266,0.681818181818182,0.1,0.174418604651163,21.1855979708873,"p33","CC-UC1"
"CC-UC1_p34",150,93,0.62,64,0.426666666666667,86,29,115,0.426666666666667,0.573333333333333,0.311827956989247,2.95453683201579,1.59573893541519,3.35792653906215,0.688172043010753,0.426666666666667,0.526748971193416,6.3748136640008,"p34","CC-UC1"
