"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,105,5037,NA,76,9.7,327974.839933849,4310007.22597594,9.312,327978.25,4310007.75,3.45009454477612,0.388,3.47184336741938,"SG-SWR1"
0,8,5009,NA,83,9.6,327958.259594755,4310007.15837955,10.694,327956.25,4310007.25,2.01168222828737,1.094,2.28991296507252,"SG-SWR1"
0,NA,5039,NA,NA,9.6,327973.059041776,4310000.14145022,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5131,NA,NA,9.6,327973.532901219,4309991.34563742,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,4,5190,NA,244,9.6,327978.660169948,4309983.19875218,11.41,327978.25,4309983.25,0.41335907496192,1.81,1.85660058301547,"SG-SWR1"
0,11,5181,NA,100,9.5,327986.438435042,4310006.41105898,9.91,327985.75,4310004.75,1.79807111729422,0.41,1.84422334407948,"SG-SWR1"
0,NA,5022,NA,NA,9.4,327970.615109177,4310001.02519141,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5170,NA,NA,9.4,327980.053133725,4309994.13665117,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5008,NA,NA,9.1,327958.224557512,4310010.13946221,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,19,5204,NA,204,9.1,327976.529182919,4309988.54044466,8.176,327974.75,4309988.25,1.80273402440073,0.923999999999999,2.02574084293427,"SG-SWR1"
0,14,5136,NA,176,9,327979.107649897,4309994.27394731,8.703,327980.75,4309993.25,1.93540226968642,0.297000000000001,1.95805795254057,"SG-SWR1"
0,17,5002,NA,26,8.9,327952.509177557,4310012.79250383,8.373,327953.25,4310014.75,2.09299048224828,0.527000000000001,2.15831836362987,"SG-SWR1"
0,81,5017,NA,95,8.9,327969.77207411,4310006.22982609,8.392,327973.25,4310004.75,3.77966317804155,0.508000000000001,3.81364887469247,"SG-SWR1"
0,13,5132,NA,161,8.9,327976.608536802,4309995.77671357,9.133,327976.25,4309995.75,0.359530601535029,0.232999999999999,0.428428819572329,"SG-SWR1"
