"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","quad","paramset"
"CC-CVN2_p32",441,195,0.442176870748299,122,0.276643990929705,319,73,392,0.276643990929705,0.723356009070295,0.374358974358974,2.3966649931385,1.36468324253616,2.75796364040474,0.625641025641026,0.276643990929705,0.383647798742138,7.1887904725304,"CC-CVN2","p32"
"CC-CVN2_p33",441,160,0.36281179138322,115,0.260770975056689,326,45,371,0.260770975056689,0.739229024943311,0.28125,2.48814466479669,1.57141124885992,2.94282129698691,0.71875,0.260770975056689,0.382695507487521,7.68971999777883,"CC-CVN2","p33"
"CC-CVN2_p34",441,180,0.408163265306122,116,0.263038548752834,325,64,389,0.263038548752834,0.736961451247165,0.355555555555556,2.40358655796123,1.38943583502628,2.77628533858951,0.644444444444444,0.263038548752834,0.373590982286634,7.43134997958659,"CC-CVN2","p34"
"CC-CVN2_p35",441,159,0.360544217687075,114,0.258503401360544,327,45,372,0.258503401360544,0.741496598639456,0.283018867924528,2.49838250438508,1.57809319205395,2.95504539068767,0.716981132075472,0.258503401360544,0.38,7.77643523865178,"CC-CVN2","p35"
"CC-CVN2_p36",441,172,0.390022675736961,111,0.251700680272109,330,61,391,0.251700680272109,0.748299319727891,0.354651162790698,2.4059741391587,1.41235457036554,2.78988476298446,0.645348837209302,0.251700680272109,0.362153344208809,7.70360071941205,"CC-CVN2","p36"
"CC-CVN2_p37",441,153,0.346938775510204,106,0.240362811791383,335,47,382,0.240362811791383,0.759637188208617,0.30718954248366,2.4548915153554,1.54912959432063,2.90280809771572,0.69281045751634,0.240362811791383,0.356902356902357,8.1333396700148,"CC-CVN2","p37"
"CC-CVN2_p38",441,161,0.365079365079365,116,0.263038548752834,325,45,370,0.263038548752834,0.736961451247165,0.279503105590062,2.49809304209701,1.56735388418693,2.94907901644723,0.720496894409938,0.263038548752834,0.385382059800664,7.65235158578116,"CC-CVN2","p38"
"CC-CVN2_p39",441,90,0.204081632653061,75,0.170068027210884,366,15,381,0.170068027210884,0.829931972789116,0.166666666666667,2.70429556383542,1.70449009775162,3.19663901463917,0.833333333333333,0.170068027210884,0.282485875706215,11.3161021118227,"CC-CVN2","p39"
"CC-CVN2_p40",441,151,0.342403628117914,106,0.240362811791383,335,45,380,0.240362811791383,0.759637188208617,0.298013245033113,2.44581435081526,1.58869917121014,2.91650011062192,0.701986754966887,0.240362811791383,0.358108108108108,8.14418898815177,"CC-CVN2","p40"
"CC-CVN2_p41",441,88,0.199546485260771,73,0.165532879818594,368,15,383,0.165532879818594,0.834467120181406,0.170454545454545,2.6755013797728,1.6862255898088,3.16254080968012,0.829545454545455,0.165532879818594,0.275992438563327,11.4587951254848,"CC-CVN2","p41"
"CC-CVN2_p42",441,126,0.285714285714286,95,0.215419501133787,346,31,377,0.215419501133787,0.784580498866213,0.246031746031746,2.47175291560698,1.62104750084629,2.95590214246203,0.753968253968254,0.215419501133787,0.335097001763668,8.82103428829458,"CC-CVN2","p42"
"CC-CVN2_p43",441,84,0.19047619047619,71,0.160997732426304,370,13,383,0.160997732426304,0.839002267573696,0.154761904761905,2.70192298812976,1.73645554888095,3.21180100675984,0.845238095238095,0.160997732426304,0.27047619047619,11.8746163982318,"CC-CVN2","p43"
"CC-CVN2_p44",441,114,0.258503401360544,88,0.199546485260771,353,26,379,0.199546485260771,0.800453514739229,0.228070175438596,2.55187451411876,1.65386819649077,3.04094451563531,0.771929824561403,0.199546485260771,0.317117117117117,9.58934208055454,"CC-CVN2","p44"
"CC-CVN2_p45",441,79,0.179138321995465,67,0.151927437641723,374,12,386,0.151927437641723,0.848072562358277,0.151898734177215,2.67785743311965,1.72322444636133,3.18440307195108,0.848101265822785,0.151927437641723,0.257692307692308,12.3573850553326,"CC-CVN2","p45"
"CC-CVN2_p46",441,102,0.231292517006803,79,0.179138321995465,362,23,385,0.179138321995465,0.820861678004535,0.225490196078431,2.5524623550592,1.67281237835107,3.05178068136603,0.774509803921569,0.179138321995465,0.29097605893186,10.4880817087453,"CC-CVN2","p46"
"CC-CVN2_p47",441,75,0.170068027210884,64,0.145124716553288,377,11,388,0.145124716553288,0.854875283446712,0.146666666666667,2.70012029580085,1.6775664573274,3.17881720621769,0.853333333333333,0.145124716553288,0.248062015503876,12.8146068625651,"CC-CVN2","p47"
"CC-CVN2_p48",441,97,0.219954648526077,78,0.17687074829932,363,19,382,0.17687074829932,0.82312925170068,0.195876288659794,2.59061336373124,1.64908225837033,3.0709526038698,0.804123711340206,0.17687074829932,0.28996282527881,10.5908493646279,"CC-CVN2","p48"
"CC-CVN2_p49",441,71,0.160997732426304,61,0.138321995464853,380,10,390,0.138321995464853,0.861678004535147,0.140845070422535,2.70185264595954,1.66119297938382,3.17168249281555,0.859154929577465,0.138321995464853,0.23828125,13.3106675108325,"CC-CVN2","p49"
