"Response","PDE"
"Fir density","0.221639842764862"
"Basal area","0.6418144540588"
"Total density","0.633808455349209"
"QMD","0.624350180101811"
"Height 95P","0.60964676835243"
"Height skew","0.503890600147153"
"Pine density","0.493935080913013"
"Spruce density","0.474341169981487"
